IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM ppt0 ppt1 ppt2 ppt3 tmin0 tmin1 tmin2 tmin3 soil0 soil1 soil2 soil3 SNDPPT SLTPPT CLYPPT AWCtS WWP sand silt clay GRWLw GRWLr GRWLl GRWLd GRWLc channel_curv_cel channel_dist_dw_seg channel_dist_up_cel channel_dist_up_seg channel_elv_dw_cel channel_elv_dw_seg channel_elv_up_cel channel_elv_up_seg channel_grad_dw_seg channel_grad_up_cel channel_grad_up_seg outlet_diff_dw_scatch outlet_dist_dw_scatch stream_diff_up_farth stream_diff_up_near stream_dist_up_farth stream_dist_up_near order_hack order_horton order_shreve order_strahler order_topo slope_curv_max_dw_cel slope_curv_min_dw_cel slope_elv_dw_cel slope_grad_dw_cel elev aspect-cosine aspect-sine convergence dev-magnitude dev-scale dx dxx dxy dy dyy eastness elev-stdev northness pcurv rough-magnitude roughness rough-scale slope tcurv tpi tri vrm accumulation cti spi sti
9793 -77.4021 39.2938 23354 -8616361.0000 4374160.5000 1958 7 25185 17294 12688 17525 -5342 -13755 -19769 -26871 11950 10110 12674 17297 5938.0000 6244.0000 3720.0000 6026.0000 3338.0000 45704.0000 64839.0000 48420.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 189.0000 117.0000 1176.0000 0.0000 0.0000 0.0000 1.0000 5818.0000 0.0000 1021.0000 0.0000 117.0000 173.0000 0.0000 28121.0000 117.0000 3.0000 5.0000 476.0000 5.0000 379.0000 122698.0000 0.0000 0.0000 0.0000 78.2000 0.1678 -0.9749 42.1502 -1.3323 4.0000 -0.1335 -0.0013 0.0002 0.0239 -0.0005 -0.1319 12.2089 0.0236 -0.0013 4.2668 33.9071 2461.0000 7.7769 -0.0005 -6.8975 11.6853 0.0036 158.9571 1123620096.0000 33166.0000 2321903.0000
4817 41.8079 39.7671 34275 4654036.0000 4426851.5000 1958 8 21518 12253 -2548 97 -20227 14296 -7217 21263 18659 23502 32414 -10284 88257.0000 107507.0000 67338.0000 108724.0000 63330.0000 952202.0000 887701.0000 790593.0000 1578.0000 1578.0000 1.0000 1.0000 1.0000 8105.0000 185.0000 93.0000 93.0000 2.0000 0.0000 0.0000 0.0000 1621.0000 0.0000 16212.0000 0.0000 93.0000 1247.0000 2.0000 114797.0000 71.0000 2.0000 7.0000 6275.0000 7.0000 3458.0000 101829.0000 8095.0000 0.0000 0.0000 1751.9000 0.6853 0.6393 49.0012 -1.7837 64.0000 0.0520 -0.0005 -0.0002 0.0411 -0.0002 0.0518 6.6482 0.0410 -0.0003 10.9859 19.8015 67.0000 3.8698 -0.0003 -2.4228 6.7136 0.0029 2630.3738 1415175040.0000 491735.0000 6184661.0000
18906 -94.7329 32.3196 18449 -10545620.0000 3597799.5000 1958 9 -31550 11461 9237 19314 -2485 522 1774 -499 25181 12829 18202 28677 7659.0000 4291.0000 4207.0000 5671.0000 3273.0000 71416.0000 44434.0000 45613.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 1134.0000 78.0000 357.0000 0.0000 1.0000 0.0000 0.0000 529.0000 0.0000 0.0000 1.0000 1012.0000 79.0000 2.0000 28220.0000 78.0000 2.0000 6.0000 486.0000 5.0000 1075.0000 7720.0000 0.0000 0.0000 0.0000 85.9000 0.7542 -0.1896 5.5509 -1.7879 88.0000 -0.0017 0.0000 0.0000 0.0056 -0.0001 -0.0017 0.6733 0.0056 -0.0001 1.6044 2.0828 640.0000 0.3697 0.0000 -0.1567 0.5830 0.0000 161.4568 1551182080.0000 319.0000 5413.0000
12145 -80.3504 41.0013 13822 -8944568.0000 4564238.5000 1958 11 -10851 21181 29741 4468 5082 8794 11518 -604 24740 -8382 24740 22040 73666.0000 91400.0000 41705.0000 78243.0000 43421.0000 528784.0000 1037862.0000 500774.0000 3851.0000 3851.0000 1.0000 1.0000 1.0000 0.0000 116.0000 116.0000 675.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 170.0000 6.0000 150631.0000 70.0000 4.0000 7.0000 5929.0000 7.0000 8452.0000 42953.0000 0.0000 0.0000 0.0000 238.8000 0.2928 0.8470 33.7990 -2.5336 295.0000 0.0136 -0.0001 -0.0002 0.0074 -0.0001 0.0136 2.1504 0.0074 -0.0003 4.1396 7.6588 2068.0000 0.9374 0.0001 -0.6371 1.6273 0.0003 2067.3809 1654229504.0000 25934.0000 167299.0000
37960 146.7787 -37.9987 39889 16339335.0000 -4230001.5000 1958 11 12044 21754 -4894 -15318 -6508 16172 -18337 -10354 26877 30313 29687 30219 64843.0000 21920.0000 39139.0000 60838.0000 29433.0000 564673.0000 319901.0000 374575.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 309.0000 118.0000 309.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 236.0000 1385.0000 2.0000 128462.0000 92.0000 2.0000 7.0000 3146.0000 7.0000 242.0000 7483.0000 0.0000 0.0000 0.0000 37.6000 0.6878 -0.1880 -16.1953 -1.2102 10.0000 -0.0008 0.0000 -0.0000 0.0020 -0.0000 -0.0008 0.3068 0.0020 0.0000 7.5595 1.1236 742.0000 0.1662 0.0000 0.0892 0.2559 0.0000 1259.0632 1675901184.0000 7114.0000 48540.0000
12109 -80.1746 40.4579 14085 -8924994.0000 4503754.5000 1958 12 1583 4135 1962 6334 -32123 -24876 -22344 -18004 4854 4854 3999 5720 1977.0000 2877.0000 1839.0000 2544.0000 1564.0000 11198.0000 32997.0000 22688.0000 1.0000 1.0000 1.0000 1.0000 1.0000 7481.0000 141.0000 71.0000 187.0000 1.0000 0.0000 0.0000 1.0000 2122.0000 4244.0000 11222.0000 0.0000 71.0000 119.0000 10.0000 15227.0000 71.0000 3.0000 5.0000 203.0000 5.0000 8430.0000 129293.0000 4705.0000 0.0000 5021.0000 257.4000 -0.8133 0.5654 -0.3942 -2.6001 49.0000 0.0465 0.0001 0.0003 -0.0707 -0.0007 0.0463 7.4810 -0.0704 -0.0007 5.3425 23.2263 397.0000 4.8776 0.0001 -2.1803 6.7653 0.0018 66.8793 1042929920.0000 13153.0000 1520769.0000
20852 -109.8671 37.1512 9853 -12230347.0000 4135658.0000 1959 1 32062 13237 -12716 4419 -19828 -30188 -14196 -16876 -23316 -23077 -17812 -7944 3095444.0000 1633197.0000 1234428.0000 2276878.0000 1052193.0000 27810988.0000 17287584.0000 14521807.0000 900646.0000 290995.0000 609669.0000 8.0000 1.0000 0.0000 74.0000 74.0000 359.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 2668.0000 36.0000 484499.0000 118.0000 2.0000 9.0000 152962.0000 9.0000 4907.0000 185302.0000 0.0000 0.0000 0.0000 1244.7001 -0.9139 -0.1531 16.7282 -2.1788 418.0000 -0.0245 -0.0012 -0.0008 -0.0589 -0.0015 -0.0242 9.9116 -0.0585 -0.0017 7.3182 33.4440 46.0000 3.9860 -0.0010 -10.2662 10.9531 0.0054 59622.6133 1788105216.0000 6039311.0000 9715187.0000
29874 -121.0129 55.0604 1061 -13471096.0000 6129297.5000 1959 2 337 892 735 522 6418 5695 6727 7200 413 413 413 413 671.0000 494.0000 251.0000 580.0000 292.0000 4334.0000 5860.0000 3943.0000 1.0000 1.0000 1.0000 1.0000 1.0000 28054.0000 107.0000 107.0000 213.0000 0.0000 0.0000 5.0000 0.0000 42070.0000 42070.0000 0.0000 0.0000 0.0000 255.0000 4.0000 6457.0000 107.0000 3.0000 4.0000 38.0000 4.0000 11066.0000 27759.0000 -34530.0000 5.0000 45795.0000 750.1000 0.6989 -0.6708 44.3993 -1.7589 247.0000 -0.0181 -0.0005 0.0001 0.0152 -0.0001 -0.0181 3.3371 0.0152 -0.0003 9.8408 9.6369 652.0000 1.3967 -0.0004 -2.2833 4.4199 0.0004 14.1349 925540992.0000 1896.0000 496586.0000
19419 -96.0121 28.9746 19675 -10688016.0000 3225435.7500 1959 3 23883 27867 19290 15749 -22040 -21452 -31440 -32196 -5230 28433 15512 23626 4476464.0000 3074672.0000 3242740.0000 3968080.0000 2238704.0000 38600992.0000 34665092.0000 34652712.0000 2135551.0000 477402.0000 1658234.0000 9.0000 1.0000 0.0000 492.0000 123.0000 831.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 400.0000 1350.0000 4.0000 1757068.0000 81.0000 1.0000 9.0000 314795.0000 9.0000 130.0000 18874.0000 0.0000 0.0000 0.0000 13.3000 0.0396 0.9429 28.2190 -0.4067 1.0000 0.0064 -0.0000 -0.0000 0.0000 0.0000 0.0064 0.6834 0.0000 -0.0000 0.6952 1.9265 3997.0000 0.3809 0.0000 -0.0036 0.7237 0.0000 107930.9531 1964230656.0000 3327527.0000 2622660.0000
4965 6.1588 61.6096 32420 685588.9375 6858347.5000 1959 3 1447 7840 3905 4609 11151 10507 10135 10687 554 554 554 554 1279.0000 594.0000 179.0000 951.0000 389.0000 12646.0000 6742.0000 1122.0000 1.0000 1.0000 1.0000 1.0000 1.0000 54139.0000 93.0000 93.0000 381.0000 10.0000 0.0000 0.0000 34.0000 0.0000 0.0000 131863.0000 0.0000 0.0000 555.0000 13.0000 9400.0000 44.0000 2.0000 5.0000 55.0000 4.0000 162.0000 134771.0000 39235.0000 0.0000 0.0000 687.5000 -0.8253 -0.4100 22.2516 1.0968 3997.0000 -0.0529 -0.0008 0.0006 -0.1081 -0.0008 -0.0524 11.7734 -0.1072 -0.0007 18.9372 38.9748 67.0000 7.4284 -0.0010 -6.2441 11.6371 0.0057 20.5086 971729664.0000 2513.0000 512412.0000
17876 -104.7129 38.9521 9070 -11656588.0000 4336126.0000 1959 4 607 437 262 285 8845 8106 7802 7548 36 35 19 19 794.0000 438.0000 338.0000 605.0000 298.0000 7977.0000 4069.0000 3641.0000 1.0000 1.0000 1.0000 1.0000 1.0000 26369.0000 307.0000 117.0000 117.0000 2.0000 5.0000 3.0000 0.0000 22477.0000 25559.0000 17039.0000 5.0000 235.0000 215.0000 7.0000 9234.0000 117.0000 4.0000 4.0000 45.0000 4.0000 7545.0000 17629.0000 -5874.0000 3.0000 27204.0000 2101.4001 -0.5827 -0.4404 20.0129 -1.0750 7.0000 -0.0128 -0.0003 0.0003 -0.0176 -0.0003 -0.0128 3.1125 -0.0176 -0.0002 5.3317 10.3330 2326.0000 1.7284 -0.0003 -1.9684 3.4455 0.0004 15.6855 1024252160.0000 861.0000 162007.0000
30192 -124.3171 49.7946 1675 -13838915.0000 5543107.5000 1959 4 -22041 -327 -15682 -24094 13047 6351 -59 -3240 -10789 -10789 -10789 -10789 27052.0000 14710.0000 3851.0000 21040.0000 8945.0000 205813.0000 187556.0000 62844.0000 1.0000 1.0000 1.0000 1.0000 1.0000 21697.0000 290.0000 60.0000 60.0000 4.0000 0.0000 0.0000 0.0000 1033.0000 0.0000 61666.0000 0.0000 230.0000 1143.0000 22.0000 40448.0000 60.0000 1.0000 6.0000 1031.0000 6.0000 11.0000 248993.0000 26363.0000 0.0000 0.0000 109.3000 0.0638 -0.3815 43.1176 -1.9853 7.0000 -0.0386 -0.0019 0.0003 0.0250 -0.0016 -0.0383 11.7842 0.0247 -0.0015 16.0250 31.4035 1198.0000 5.3420 -0.0020 -13.0094 13.2957 0.0097 456.1970 1249656064.0000 77377.0000 2704150.0000
9523 -76.6921 40.0196 22990 -8537324.0000 4454960.0000 1959 4 -3292 -22575 31989 -25416 -6413 4629 -19181 -27344 -17964 -12367 -12399 -24353 25327.0000 27606.0000 16179.0000 26173.0000 14620.0000 245117.0000 273962.0000 171689.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 71.0000 71.0000 447.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1343.0000 0.0000 0.0000 219.0000 8.0000 62254.0000 188.0000 2.0000 6.0000 1895.0000 6.0000 320.0000 33537.0000 0.0000 0.0000 0.0000 98.9000 -0.5255 -0.3067 26.8952 -1.5419 34.0000 0.0013 -0.0002 0.0001 -0.0083 -0.0002 0.0013 1.7527 -0.0083 -0.0002 4.2073 5.3493 1897.0000 0.8140 -0.0003 -1.7267 2.1952 0.0001 690.7505 1499450496.0000 13997.0000 201429.0000
2515 -124.9187 50.9871 1417 -13905891.0000 5675856.0000 1959 5 -22387 22718 18884 10068 -9647 -29778 -2807 -10600 -1017 -23057 -2764 -9570 331362.0000 182980.0000 51260.0000 246092.0000 100421.0000 2216978.0000 2254674.0000 1185890.0000 1.0000 1.0000 1.0000 1.0000 1.0000 3460.0000 219.0000 110.0000 775.0000 0.0000 1.0000 1.0000 0.0000 10490.0000 6385.0000 0.0000 1.0000 110.0000 1834.0000 13.0000 167863.0000 110.0000 1.0000 8.0000 12244.0000 8.0000 30.0000 162312.0000 -3612.0000 1.0000 6939.0000 4.4000 0.3816 -0.8648 26.0358 -2.0237 349.0000 -0.1824 -0.0030 0.0014 0.0865 -0.0007 -0.1772 20.3201 0.0840 -0.0033 27.6579 63.6359 154.0000 11.4570 -0.0001 -13.7190 17.8655 0.0133 5657.3125 1442059264.0000 1742019.0000 16073848.0000
5661 20.7021 -33.5721 34146 2304545.5000 -3737227.2500 1959 6 24262 -18089 -26983 -9467 -3873 -24273 -1348 -16134 4207 5594 2476 2652 177737.0000 45726.0000 66616.0000 115901.0000 46020.0000 1785603.0000 434599.0000 680742.0000 1.0000 1.0000 1.0000 1.0000 1.0000 5170.0000 77.0000 77.0000 309.0000 0.0000 0.0000 1.0000 1.0000 10340.0000 10340.0000 1939.0000 0.0000 0.0000 1616.0000 7.0000 136743.0000 170.0000 3.0000 7.0000 6466.0000 7.0000 772.0000 -4408.0000 -4408.0000 1.0000 8815.0000 467.7000 -0.5474 0.1276 16.6795 -2.3019 25.0000 -0.0010 -0.0000 0.0002 0.0043 -0.0011 -0.0010 5.5187 0.0040 -0.0011 9.6371 16.2273 4.0000 3.1086 0.0000 -4.0474 4.8732 0.0095 2900.7900 1578696704.0000 114326.0000 849590.0000
18319 -101.3063 36.2021 10167 -11277360.0000 4029997.5000 1959 7 11758 11240 -29639 -19400 3339 -7724 -20871 8693 5458 5488 5588 5618 110683.0000 94163.0000 78214.0000 106740.0000 58819.0000 884446.0000 1027638.0000 917802.0000 8.0000 1.0000 1.0000 8.0000 1.0000 0.0000 119.0000 119.0000 119.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 314.0000 1.0000 185134.0000 75.0000 5.0000 7.0000 8028.0000 7.0000 6293.0000 9973.0000 0.0000 0.0000 0.0000 908.6000 -0.3376 -0.7405 51.0544 -2.1392 121.0000 -0.0082 -0.0003 0.0001 -0.0009 0.0000 -0.0082 1.3100 -0.0009 -0.0002 1.8891 4.5007 25.0000 0.5322 -0.0001 -1.0360 1.9647 0.0001 2829.7593 1669910144.0000 42009.0000 236177.0000
19481 -98.5638 29.6321 19497 -10972067.0000 3298628.5000 1959 8 4913 3225 8356 4126 -16345 -16560 -16579 -18009 2235 2656 3290 4020 2179.0000 1724.0000 2200.0000 2382.0000 1431.0000 17737.0000 22361.0000 20866.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 284.0000 123.0000 123.0000 0.0000 0.0000 0.0000 0.0000 1408.0000 0.0000 0.0000 0.0000 203.0000 123.0000 5.0000 15515.0000 81.0000 3.0000 4.0000 170.0000 4.0000 1038.0000 31845.0000 0.0000 0.0000 0.0000 315.4000 0.7916 0.5426 37.0016 -1.2311 22.0000 0.0131 -0.0002 -0.0001 0.0175 -0.0001 0.0131 1.9693 0.0175 -0.0002 2.9599 6.0978 28.0000 1.2575 -0.0001 -1.0880 1.8200 0.0001 60.9602 1202900736.0000 2158.0000 157619.0000
