IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM ppt0 ppt1 ppt2 ppt3 tmin0 tmin1 tmin2 tmin3 soil0 soil1 soil2 soil3 SNDPPT SLTPPT CLYPPT AWCtS WWP sand silt clay GRWLw GRWLr GRWLl GRWLd GRWLc channel_curv_cel channel_dist_dw_seg channel_dist_up_cel channel_dist_up_seg channel_elv_dw_cel channel_elv_dw_seg channel_elv_up_cel channel_elv_up_seg channel_grad_dw_seg channel_grad_up_cel channel_grad_up_seg outlet_diff_dw_scatch outlet_dist_dw_scatch stream_diff_up_farth stream_diff_up_near stream_dist_up_farth stream_dist_up_near order_hack order_horton order_shreve order_strahler order_topo slope_curv_max_dw_cel slope_curv_min_dw_cel slope_elv_dw_cel slope_grad_dw_cel elev aspect-cosine aspect-sine convergence dev-magnitude dev-scale dx dxx dxy dy dyy eastness elev-stdev northness pcurv rough-magnitude roughness rough-scale slope tcurv tpi tri vrm accumulation cti spi sti
39775 148.0554 -28.8271 37248 16481454.0000 -3209016.2500 1958 4 2387 2465 2706 4238 -19251 -17309 -16580 -16121 183 198 229 233 2761.0000 780.0000 2556.0000 2676.0000 1488.0000 23637.0000 8740.0000 28606.0000 40218.0000 40218.0000 1.0000 1.0000 1.0000 0.0000 574.0000 123.0000 1176.0000 0.0000 1.0000 0.0000 0.0000 1220.0000 0.0000 340.0000 1.0000 451.0000 11.0000 1.0000 30841.0000 92.0000 4.0000 5.0000 162.0000 5.0000 4907.0000 3191.0000 0.0000 0.0000 0.0000 161.6000 0.5677 -0.7993 5.6372 0.9956 7.0000 -0.0023 -0.0000 -0.0000 0.0017 0.0000 -0.0023 0.2534 0.0017 0.0000 1.6335 0.8706 3997.0000 0.1646 0.0000 0.0999 0.2424 0.0000 60.9763 1476397824.0000 84.0000 2283.0000
28004 -63.6213 50.3079 21323 -7082285.0000 5600252.0000 1958 5 8162 -25980 -15497 19559 -20639 22749 26894 -18104 17524 17524 17524 17524 838768.0000 342582.0000 112119.0000 571368.0000 269422.0000 7610334.0000 3906623.0000 1416744.0000 1981728.0000 510257.0000 1471527.0000 1.0000 1.0000 0.0000 295.0000 93.0000 185.0000 0.0000 0.0000 0.0000 0.0000 338.0000 0.0000 0.0000 0.0000 185.0000 720.0000 7.0000 510630.0000 220.0000 1.0000 8.0000 34120.0000 8.0000 59.0000 6259.0000 0.0000 0.0000 0.0000 3.7000 0.5637 -0.0186 43.2409 -2.0433 37.0000 0.0034 -0.0004 -0.0002 0.0151 -0.0002 0.0034 3.0342 0.0151 -0.0005 3.3354 9.4915 955.0000 1.5487 -0.0001 -2.2233 2.6158 0.0005 12934.5664 1841615872.0000 155353.0000 329194.0000
39065 145.6346 -35.7812 38748 16211968.0000 -3983150.5000 1958 5 -710 8746 24833 27305 -16459 -13368 17298 -20805 12271 6710 7636 8773 45112.0000 14572.0000 42452.0000 41394.0000 23192.0000 399031.0000 172367.0000 450555.0000 170.0000 1.0000 170.0000 1.0000 1.0000 0.0000 185.0000 92.0000 608.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 92.0000 61.0000 1.0000 129121.0000 92.0000 4.0000 8.0000 3004.0000 6.0000 3123.0000 6432.0000 0.0000 0.0000 0.0000 112.2000 0.4838 0.0388 58.3661 -1.5052 7.0000 -0.0000 -0.0001 0.0000 0.0014 0.0000 -0.0000 0.2723 0.0014 -0.0000 3.4748 0.8334 2404.0000 0.1700 -0.0000 -0.1783 0.2778 0.0000 1021.9098 1650906496.0000 6060.0000 47553.0000
39814 151.6113 -27.6871 37024 16877288.0000 -3082112.0000 1958 5 132 1432 2184 1813 15131 16119 16718 16930 127 132 149 157 774.0000 337.0000 1086.0000 967.0000 609.0000 4714.0000 4125.0000 13114.0000 1.0000 1.0000 1.0000 1.0000 1.0000 7287.0000 247.0000 124.0000 206.0000 2.0000 0.0000 0.0000 2.0000 1213.0000 0.0000 10688.0000 0.0000 124.0000 189.0000 3.0000 10073.0000 124.0000 2.0000 5.0000 70.0000 4.0000 6465.0000 9972.0000 7138.0000 0.0000 0.0000 456.0000 -0.4935 -0.7214 4.3989 -1.3576 46.0000 -0.0148 -0.0001 -0.0000 -0.0127 -0.0002 -0.0148 1.9405 -0.0127 -0.0002 3.5853 6.5023 1450.0000 1.2253 -0.0002 -1.3300 1.9152 0.0001 21.9518 1076474240.0000 997.0000 144791.0000
13668 -86.7054 45.9437 13355 -9652003.0000 5114434.5000 1958 6 -20700 22603 21625 9268 -2114 -23402 24286 1932 25808 -31781 -12382 -24151 34605.0000 10321.0000 3754.0000 18193.0000 5831.0000 338374.0000 102544.0000 45794.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 339.0000 113.0000 113.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 226.0000 111.0000 3.0000 67945.0000 113.0000 4.0000 7.0000 1455.0000 6.0000 2892.0000 20057.0000 0.0000 0.0000 0.0000 188.4000 0.7580 -0.1091 62.4262 -1.6526 4.0000 -0.0028 -0.0003 -0.0000 0.0043 -0.0001 -0.0028 1.2923 0.0043 -0.0000 1.4748 3.9580 3907.0000 0.4672 -0.0004 -1.4234 1.9120 0.0001 486.6859 1422900096.0000 15186.0000 307036.0000
19199 -99.1404 32.7329 18278 -11036261.0000 3643811.7500 1958 7 -6432 -817 16112 7304 -5941 32638 10792 -13226 6151 6230 6336 6364 46356.0000 55566.0000 56652.0000 55427.0000 36570.0000 273018.0000 680325.0000 632025.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 441.0000 121.0000 121.0000 0.0000 0.0000 0.0000 0.0000 1360.0000 0.0000 0.0000 0.0000 363.0000 231.0000 12.0000 86075.0000 121.0000 3.0000 7.0000 4577.0000 7.0000 3641.0000 50998.0000 0.0000 0.0000 0.0000 368.5000 -0.9287 0.1635 -3.9693 -1.4477 61.0000 0.0099 -0.0003 0.0002 -0.0319 -0.0003 0.0099 3.4090 -0.0318 -0.0004 1.5372 11.2326 355.0000 1.9687 -0.0002 -2.2564 3.0648 0.0003 1585.3030 1477275392.0000 94936.0000 1149556.0000
3622 14.3062 58.7921 31284 1592564.3750 6544705.0000 1958 7 2736 1031 1528 640 12872 12294 11438 10555 1538 953 1539 1539 1111.0000 499.0000 202.0000 771.0000 293.0000 8925.0000 7028.0000 2155.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 197.0000 93.0000 93.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 93.0000 47.0000 10.0000 10619.0000 105.0000 3.0000 4.0000 58.0000 4.0000 399.0000 50004.0000 0.0000 0.0000 0.0000 122.7000 -0.7465 -0.1916 21.9794 -1.4340 13.0000 -0.0051 -0.0005 0.0002 -0.0134 -0.0001 -0.0051 2.7486 -0.0134 -0.0002 2.3742 9.2529 3997.0000 1.2739 -0.0004 -2.2152 2.9839 0.0007 18.1059 981111360.0000 1780.0000 366040.0000
30744 -120.8571 51.1512 1394 -13453749.0000 5694131.0000 1958 8 6303 8303 28128 11929 3230 6714 3868 -15058 9151 12370 21887 32458 20081.0000 14458.0000 5410.0000 16628.0000 7765.0000 174685.0000 129746.0000 95108.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 226.0000 110.0000 110.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 168.0000 475.0000 7.0000 50693.0000 93.0000 3.0000 7.0000 1128.0000 6.0000 1618.0000 41197.0000 0.0000 0.0000 0.0000 1049.7001 0.8783 0.4205 2.3009 -1.2305 130.0000 0.0049 -0.0000 0.0000 0.0104 0.0000 0.0049 1.1602 0.0104 0.0000 14.8380 3.6777 2737.0000 0.6777 -0.0000 -0.0003 1.3698 0.0000 399.5220 1332061696.0000 25790.0000 730266.0000
9401 -78.4571 41.0046 22535 -8733803.0000 4564609.0000 1958 8 18869 18252 9200 7453 -19604 13437 635 22050 -20264 -18003 31050 -26522 44263.0000 53189.0000 26270.0000 46425.0000 26967.0000 406880.0000 523316.0000 306751.0000 7931.0000 7931.0000 1.0000 1.0000 1.0000 0.0000 93.0000 93.0000 93.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 333.0000 3.0000 110959.0000 186.0000 2.0000 8.0000 3063.0000 7.0000 1670.0000 26814.0000 0.0000 0.0000 0.0000 335.5000 0.0489 0.1273 34.3025 -2.1749 232.0000 -0.0049 -0.0003 0.0001 0.0030 0.0000 -0.0049 1.7171 0.0030 -0.0003 7.0309 5.3611 922.0000 0.7981 0.0000 -1.1424 1.7758 0.0002 1236.8871 1530656768.0000 33228.0000 366964.0000
900014 -106.6488 67.6521 900014 -11872085.0000 7530995.5000 1958 8 1 1 1 1 14 13 12 10 1 1 1 1 2.0000 1.0000 1.0000 1.0000 1.0000 9.0000 7.0000 5.0000 1.0000 1.0000 1.0000 1.0000 1.0000 7039.0000 234.0000 99.0000 99.0000 1.0000 2.0000 1.0000 0.0000 7684.0000 5028.0000 9050.0000 2.0000 199.0000 6.0000 5.0000 298.0000 192.0000 3.0000 1.0000 1.0000 1.0000 175.0000 2123.0000 2123.0000 1.0000 5309.0000 130.0000 -0.7056 0.4921 15.0602 -1.2021 13.0000 0.0046 0.0000 -0.0000 -0.0077 -0.0002 0.0046 1.0689 -0.0077 -0.0001 1.9095 3.2517 499.0000 0.5885 -0.0001 -0.4810 1.0663 0.0001 0.0196 435726240.0000 0.0000 3833.0000
29525 -93.7271 49.6429 12683 -10433651.0000 5526224.5000 1958 9 519 402 1176 614 5873 6167 6278 5762 167 174 302 139 484.0000 220.0000 162.0000 366.0000 177.0000 3730.0000 3204.0000 1710.0000 1.0000 1.0000 1.0000 1.0000 1.0000 21638.0000 111.0000 111.0000 406.0000 0.0000 0.0000 4.0000 5.0000 39814.0000 39814.0000 12303.0000 0.0000 0.0000 63.0000 8.0000 5360.0000 153.0000 6.0000 6.0000 27.0000 4.0000 3133.0000 -22354.0000 -22354.0000 4.0000 42374.0000 381.0000 -0.9468 -0.0450 5.3014 -1.2146 7.0000 0.0013 -0.0001 0.0001 -0.0390 -0.0002 0.0013 3.6465 -0.0389 -0.0002 3.7492 10.9966 64.0000 2.3180 -0.0002 -1.3228 3.4750 0.0004 8.6429 942560640.0000 594.0000 170908.0000
39581 151.1104 -30.6254 37551 16821534.0000 -3409205.7500 1959 3 32199 -32664 14251 -22205 5759 28636 -31879 3230 -25029 -22039 -30643 -23276 82902.0000 31318.0000 61539.0000 74054.0000 39339.0000 802424.0000 381616.0000 573346.0000 1.0000 1.0000 1.0000 1.0000 1.0000 7924.0000 766.0000 92.0000 92.0000 0.0000 2.0000 2.0000 0.0000 2742.0000 18401.0000 0.0000 2.0000 644.0000 683.0000 5.0000 160425.0000 122.0000 3.0000 9.0000 4633.0000 7.0000 5855.0000 12850.0000 -7811.0000 2.0000 18419.0000 736.2000 -0.1714 0.6854 38.1348 1.6786 3997.0000 0.0178 -0.0005 -0.0000 -0.0036 0.0001 0.0178 2.4664 -0.0036 -0.0006 6.3763 6.9996 1402.0000 1.3995 0.0001 -1.8385 2.1188 0.0004 1757.3058 1516482304.0000 78385.0000 816684.0000
9387 -75.6421 41.4429 22336 -8420438.0000 4613404.5000 1959 3 32355 25777 31611 11187 -22433 19045 23183 19340 -23684 -23728 -23728 -23728 19898.0000 17465.0000 7850.0000 16848.0000 9016.0000 186137.0000 179416.0000 86432.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1440.0000 116.0000 116.0000 116.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 2590.0000 0.0000 0.0000 416.0000 5.0000 65242.0000 70.0000 2.0000 6.0000 1179.0000 5.0000 1263.0000 20922.0000 1464.0000 0.0000 0.0000 216.8000 0.0860 0.9943 39.7152 -1.9164 406.0000 0.0175 -0.0003 0.0000 0.0015 -0.0001 0.0175 1.8211 0.0015 -0.0003 5.7643 5.6686 961.0000 1.0095 -0.0001 -1.2993 2.2086 0.0001 451.9728 1402828544.0000 16069.0000 353206.0000
14508 -113.4429 48.8471 6596 -12628408.0000 5437632.5000 1959 5 32593 19630 6611 12411 13891 6953 1674 -22588 -30613 20757 7462 6853 12237.0000 9563.0000 3852.0000 10802.0000 5425.0000 108364.0000 88532.0000 59540.0000 1.0000 1.0000 1.0000 1.0000 1.0000 6303.0000 204.0000 111.0000 444.0000 1.0000 0.0000 0.0000 6.0000 0.0000 0.0000 15535.0000 0.0000 111.0000 1521.0000 11.0000 33460.0000 93.0000 4.0000 5.0000 645.0000 5.0000 10021.0000 73076.0000 6740.0000 0.0000 0.0000 1390.7001 0.9487 -0.3021 47.5752 -1.1172 58.0000 -0.0165 0.0000 0.0002 0.0534 -0.0003 -0.0165 4.8184 0.0533 -0.0004 11.2899 14.9555 286.0000 3.2105 0.0001 -1.1564 4.2431 0.0003 256.4199 1225954176.0000 30912.0000 1377720.0000
26696 -63.8763 45.7046 21978 -7110672.0000 5087811.0000 1959 6 -13829 22277 27528 -23662 -19984 -31436 11099 -11419 31490 27993 31490 31490 19048.0000 11986.0000 4563.0000 13197.0000 6173.0000 169190.0000 127581.0000 59171.0000 1.0000 1.0000 1.0000 1.0000 1.0000 9244.0000 541.0000 65.0000 599.0000 1.0000 2.0000 0.0000 1.0000 4065.0000 0.0000 2004.0000 2.0000 449.0000 270.0000 2.0000 36342.0000 93.0000 1.0000 7.0000 1079.0000 7.0000 79.0000 66917.0000 17986.0000 0.0000 0.0000 13.6000 0.6338 -0.1450 45.9945 -1.4138 103.0000 -0.0110 -0.0004 0.0001 0.0169 -0.0001 -0.0110 2.6168 0.0168 -0.0003 2.3847 7.5469 133.0000 1.5118 -0.0002 -1.9343 2.7150 0.0004 355.9258 1354918272.0000 16185.0000 442104.0000
7448 143.1104 -36.9004 39232 15930978.0000 -4107735.7500 1959 6 6356 2344 3874 8120 23669 24063 28834 -31976 1537 655 705 843 7589.0000 1786.0000 4660.0000 5942.0000 3015.0000 76389.0000 23765.0000 40248.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1037.0000 193.0000 74.0000 906.0000 0.0000 0.0000 0.0000 0.0000 4148.0000 2693.0000 0.0000 0.0000 74.0000 263.0000 2.0000 27422.0000 74.0000 2.0000 6.0000 349.0000 5.0000 714.0000 9990.0000 -999.0000 0.0000 2540.0000 230.3000 -0.0732 -0.8969 55.3274 -1.0509 4.0000 -0.0062 -0.0001 0.0001 0.0003 -0.0000 -0.0062 0.7585 0.0003 -0.0001 2.8082 2.3262 172.0000 0.3761 -0.0001 -0.7206 0.7938 0.0000 140.3999 1378021120.0000 1904.0000 63150.0000
33676 -45.4721 -23.1371 28684 -5061929.0000 -2575608.2500 1959 7 1154 643 6454 8988 13096 12467 16059 20060 1879 2730 5687 6536 4982.0000 1895.0000 4583.0000 4994.0000 2611.0000 44995.0000 16125.0000 53482.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 126.0000 126.0000 251.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 790.0000 4.0000 30772.0000 85.0000 2.0000 6.0000 317.0000 5.0000 2148.0000 50858.0000 0.0000 0.0000 0.0000 610.1000 0.7109 0.4468 66.5562 -1.4210 31.0000 0.0236 -0.0004 -0.0002 0.0222 0.0001 0.0236 3.6325 0.0222 -0.0002 10.5577 11.4928 79.0000 2.0105 -0.0000 -0.8902 3.4805 0.0006 114.5941 1195065728.0000 8364.0000 519865.0000
1407 -104.3229 32.9896 11245 -11613174.0000 3672383.5000 1959 11 -15044 24851 186 -32061 17024 8152 -14792 7028 -8436 -7964 -11279 -4332 2184945.0000 1160024.0000 992554.0000 1668436.0000 784006.0000 19056612.0000 13221645.0000 11087293.0000 459466.0000 202427.0000 257073.0000 1.0000 1.0000 0.0000 78.0000 78.0000 199.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 2626.0000 1.0000 642709.0000 78.0000 2.0000 9.0000 119787.0000 9.0000 5285.0000 12132.0000 0.0000 0.0000 0.0000 1019.4000 0.2058 -0.3022 47.4193 -1.6885 295.0000 -0.0023 -0.0000 -0.0000 0.0035 -0.0002 -0.0023 0.8991 0.0035 -0.0001 2.7161 2.6656 3997.0000 0.5022 -0.0000 -0.7040 0.8903 0.0001 43366.0859 1981935360.0000 421761.0000 405763.0000
37263 147.8338 -42.1437 38681 16456778.0000 -4691420.5000 1959 12 13735 2954 2588 10616 -8471 -9371 -11615 -13705 5713 3003 5799 8261 4402.0000 1438.0000 2674.0000 4080.0000 1923.0000 38494.0000 17693.0000 28910.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 393.0000 115.0000 852.0000 0.0000 0.0000 0.0000 0.0000 509.0000 0.0000 0.0000 0.0000 301.0000 290.0000 18.0000 21674.0000 115.0000 2.0000 8.0000 232.0000 5.0000 667.0000 85924.0000 0.0000 0.0000 0.0000 418.0000 -0.3668 0.3751 34.0167 2.5183 3997.0000 0.0120 -0.0022 0.0008 -0.0100 -0.0009 0.0119 8.8993 -0.0099 -0.0024 8.1144 28.5348 115.0000 2.9050 -0.0006 -11.4146 12.9350 0.0050 85.0928 1166998656.0000 6105.0000 451296.0000
32012 -69.9238 -10.9263 25892 -7783876.5000 -1216304.6250 1960 1 -21715 -6942 18313 -24308 16051 -1546 -20159 -31886 13888 13888 -17874 -28301 74679.0000 55556.0000 76876.0000 84044.0000 49277.0000 449374.0000 781804.0000 839202.0000 25325.0000 25325.0000 1.0000 1.0000 1.0000 0.0000 683.0000 92.0000 184.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 553.0000 157.0000 5.0000 114239.0000 130.0000 3.0000 8.0000 6885.0000 7.0000 11038.0000 20656.0000 0.0000 0.0000 0.0000 254.8000 0.8942 -0.0492 73.5724 -2.4143 226.0000 0.0018 -0.0009 -0.0001 0.0143 -0.0001 0.0018 2.5874 0.0143 -0.0003 5.2306 8.9201 3997.0000 0.8912 -0.0008 -3.8283 4.3899 0.0003 2070.2812 1640843520.0000 30026.0000 202198.0000
30519 -120.7871 52.0929 1310 -13445957.0000 5798957.0000 1960 2 3147 3986 3586 7556 29879 26979 30756 29872 3853 3853 3853 3853 2851.0000 2246.0000 751.0000 2479.0000 1193.0000 25544.0000 22046.0000 10888.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 1337.0000 109.0000 202.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1228.0000 763.0000 2.0000 17588.0000 109.0000 5.0000 6.0000 111.0000 6.0000 2329.0000 15106.0000 0.0000 0.0000 0.0000 1067.0000 0.7915 -0.5855 30.7364 -1.4802 76.0000 -0.0191 -0.0003 0.0002 0.0233 0.0002 -0.0191 3.4208 0.0233 -0.0002 13.6378 11.8586 2002.0000 1.7562 0.0001 -0.3398 2.8893 0.0007 58.4758 1342799360.0000 446.0000 21044.0000
36249 -71.8704 -52.9963 26656 -8000578.0000 -5899515.5000 1960 2 28552 -27291 -28716 27157 3946 2493 -4356 -17911 -31034 -24784 -15731 -4623 31085.0000 19823.0000 10653.0000 32344.0000 15033.0000 337678.0000 150608.0000 127063.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 108.0000 108.0000 820.0000 0.0000 0.0000 0.0000 2.0000 0.0000 0.0000 2196.0000 0.0000 0.0000 952.0000 1.0000 63514.0000 93.0000 1.0000 7.0000 1383.0000 7.0000 4.0000 8066.0000 0.0000 0.0000 0.0000 8.2000 -0.8081 0.1299 32.4478 -0.9369 769.0000 0.0028 -0.0001 -0.0000 -0.0048 -0.0001 0.0028 0.9514 -0.0048 -0.0002 7.6015 3.0016 868.0000 0.4559 -0.0000 -0.6007 0.8932 0.0001 615.3374 1553077248.0000 6208.0000 77584.0000
36872 144.6879 -41.1354 38533 16106585.0000 -4579174.0000 1960 2 8806 3890 7414 3687 -18467 -17157 -18467 -19113 6593 5338 8305 9177 3220.0000 1363.0000 2155.0000 3367.0000 1679.0000 21906.0000 14838.0000 30612.0000 1.0000 1.0000 1.0000 1.0000 1.0000 4839.0000 512.0000 116.0000 1208.0000 1.0000 4.0000 0.0000 5.0000 8595.0000 0.0000 4470.0000 4.0000 442.0000 340.0000 4.0000 31079.0000 116.0000 1.0000 4.0000 190.0000 4.0000 3.0000 16467.0000 4497.0000 0.0000 0.0000 7.0000 -0.8055 -0.5570 -33.8479 -0.6654 142.0000 -0.0088 0.0002 -0.0000 -0.0139 -0.0000 -0.0088 1.5228 -0.0139 0.0000 2.0787 4.8780 1168.0000 0.9482 0.0001 0.5561 1.4351 0.0001 67.3521 1248200832.0000 1655.0000 102016.0000
8268 -72.2604 41.9346 25192 -8043992.5000 4668136.5000 1960 3 2835 4385 2331 4063 17345 17787 17056 18387 3314 3314 3314 3314 2145.0000 960.0000 259.0000 1227.0000 487.0000 19558.0000 10765.0000 3326.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.0000 116.0000 116.0000 439.0000 0.0000 0.0000 0.0000 7.0000 0.0000 0.0000 14803.0000 0.0000 0.0000 165.0000 4.0000 14643.0000 93.0000 3.0000 4.0000 95.0000 4.0000 284.0000 48822.0000 0.0000 0.0000 0.0000 180.5000 -0.1321 0.1333 51.3094 -2.2130 22.0000 0.0117 -0.0013 0.0001 -0.0085 -0.0001 0.0117 6.3098 -0.0085 -0.0013 4.0192 17.4450 106.0000 3.6122 -0.0001 -5.1822 6.6147 0.0045 33.6459 1239778688.0000 434.0000 33431.0000
