IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
9793 -77.402084 39.293751 23354 -8616361.000000 4374160.500000 1958 7 1.416000 1.795000 2.010000 2.452000 2.653000 2.718000 3.440000 3.930000 4.862000 5.125000 5.210000
4817 41.807919 39.767082 34275 4654036.000000 4426851.500000 1958 8 0.001000 0.001000 0.002000 0.002000 0.002000 0.003000 0.003000 0.003000 0.004000 0.004000 0.005000
18906 -94.732918 32.319584 18449 -10545620.000000 3597799.500000 1958 9 0.500000 0.575000 0.600000 0.630000 0.685000 0.735000 1.020000 1.380000 1.715000 2.125000 2.650000
12145 -80.350418 41.001251 13822 -8944568.000000 4564238.500000 1958 11 0.510000 0.765000 1.430000 1.628000 2.124000 2.407000 2.888000 3.540000 4.899000 5.947000 9.854000
37960 146.778748 -37.998749 39889 16339335.000000 -4230001.500000 1958 11 1.104000 1.161000 1.260000 1.359000 1.416000 1.614000 1.855000 2.605000 4.106000 8.792000 12.828000
12109 -80.174583 40.457916 14085 -8924994.000000 4503754.500000 1958 12 0.396000 0.425000 0.453000 0.453000 0.481000 0.510000 0.513000 0.544000 0.680000 0.787000 0.991000
20852 -109.867081 37.151249 9853 -12230347.000000 4135658.000000 1959 1 0.065000 0.107000 0.137000 0.137000 0.137000 0.137000 0.137000 0.137000 0.269000 0.632000 1.390000
29874 -121.012917 55.060417 1061 -13471096.000000 6129297.500000 1959 2 0.566000 0.566000 0.651000 0.677000 0.680000 0.736000 0.847000 0.906000 1.014000 1.138000 2.067000
19419 -96.012085 28.974583 19675 -10688016.000000 3225435.750000 1959 3 10.800000 11.360000 11.870000 11.980000 12.670000 15.300000 18.920000 26.160000 27.320000 30.639999 60.000000
4965 6.158750 61.609585 32420 685588.937500 6858347.500000 1959 3 0.042000 0.051000 0.051000 0.054000 0.057000 0.057000 0.059000 0.059000 0.059000 0.065000 0.065000
17876 -104.712914 38.952084 9070 -11656588.000000 4336126.000000 1959 4 1.439000 1.730000 1.967000 2.259000 2.503000 2.617000 2.760000 2.943000 3.297000 3.627000 5.961000
30192 -124.317085 49.794582 1675 -13838915.000000 5543107.500000 1959 4 8.552000 9.118000 9.514000 10.364000 10.987000 11.950000 14.158000 16.877001 21.153000 27.396999 47.006001
9523 -76.692085 40.019585 22990 -8537324.000000 4454960.000000 1959 4 2752.393066 2830.264893 2930.789062 2944.947021 2944.947021 3426.333008 3454.649902 3780.292969 4304.152832 4587.320801 4927.123047
2515 -124.918747 50.987083 1417 -13905891.000000 5675856.000000 1959 5 2.464000 2.990000 3.327000 3.472000 3.837000 3.993000 4.451000 4.842000 5.224000 5.476000 6.201000
5661 20.702084 -33.572083 34146 2304545.500000 -3737227.250000 1959 6 0.017000 0.017000 0.023000 0.024000 0.027000 0.030000 0.031000 0.033000 0.034000 0.040000 0.042000
18319 -101.306252 36.202084 10167 -11277360.000000 4029997.500000 1959 7 0.961000 1.016000 1.053000 1.053000 1.134000 1.759000 1.979000 2.297000 2.633000 3.690000 10.822000
19481 -98.563751 29.632084 19497 -10972067.000000 3298628.500000 1959 8 0.062000 0.089000 0.114000 0.142000 0.175000 0.207000 0.267000 0.368000 0.479000 0.598000 0.930000
5085 23.782917 66.381248 32868 2647502.250000 7389527.000000 1960 4 1.359000 1.529000 1.657000 1.883000 2.492000 3.143000 3.285000 3.766000 4.545000 4.729000 5.239000
34646 -52.149582 -23.648750 28859 -5805265.000000 -2632566.750000 1960 5 50.970001 79.116997 95.172997 106.074997 126.803001 156.026001 164.181000 178.509003 190.289001 203.824005 255.134003
7162 151.314590 -31.578751 37671 16844264.000000 -3515330.500000 1960 5 0.005000 0.006000 0.010000 0.026000 0.097000 0.122000 0.148000 0.183000 0.317000 0.490000 0.573000
27956 -71.644585 48.182083 21474 -7975438.500000 5363605.000000 1960 6 1.416000 1.557000 1.671000 1.968000 2.308000 2.563000 2.676000 2.959000 3.794000 6.131000 15.631000
7727 136.657913 35.359585 35648 15212689.000000 3936211.000000 1960 10 0.003000 0.003000 0.003000 0.006000 0.008000 0.008000 0.008000 0.008000 0.009000 0.011000 0.011000
3194 18.786249 49.297916 31791 2091275.750000 5487819.000000 1960 11 0.020000 0.024000 0.025000 0.028000 0.031000 0.034000 0.040000 0.040000 0.040000 0.048000 0.071000
22253 -118.765419 34.641251 10597 -13220906.000000 3856246.500000 1960 12 27.603001 32.555000 38.952999 43.869999 63.487999 73.825996 89.846001 109.429001 118.689003 220.807007 417.592010
