IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
39775 148.055420 -28.827084 37248 16481454.000000 -3209016.250000 1958 4 19.254999 20.530001 22.511999 29.733000 31.148001 32.563999 33.980000 38.228001 56.633999 63.713001 73.624001
28004 -63.621250 50.307919 21323 -7082285.000000 5600252.000000 1958 5 60.000000 215.919998 440.700012 475.000000 487.000000 513.000000 524.599976 556.200012 580.400024 653.000000 917.000000
39065 145.634583 -35.781250 38748 16211968.000000 -3983150.500000 1958 5 0.453000 0.544000 0.623000 0.674000 0.816000 0.991000 1.144000 1.422000 1.659000 1.892000 3.058000
39814 151.611252 -27.687084 37024 16877288.000000 -3082112.000000 1958 5 42.757999 47.629002 48.846001 54.481998 57.880001 59.748001 64.845001 67.564003 75.011002 106.753998 130.824005
13668 -86.705414 45.943748 13355 -9652003.000000 5114434.500000 1958 6 552.000000 610.000000 739.000000 862.500000 969.500000 1045.000000 1100.000000 1125.000000 1320.000000 1595.000000 1810.000000
19199 -99.140419 32.732918 18278 -11036261.000000 3643811.750000 1958 7 0.140000 0.160000 0.197000 0.230000 0.360000 0.500000 0.666000 1.134000 2.344000 3.446000 4.240000
3622 14.306250 58.792084 31284 1592564.375000 6544705.000000 1958 7 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
30744 -120.857086 51.151249 1394 -13453749.000000 5694131.000000 1958 8 0.340000 0.385000 0.416000 0.549000 0.731000 0.821000 0.915000 1.682000 3.132000 6.502000 28.600000
9401 -78.457085 41.004581 22535 -8733803.000000 4564609.000000 1958 8 3.993000 4.389000 4.961000 5.125000 5.482000 5.692000 6.097000 6.388000 7.133000 7.963000 9.033000
900014 -106.648750 67.652084 900014 -11872085.000000 7530995.500000 1958 8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
29525 -93.727081 49.642918 12683 -10433651.000000 5526224.500000 1958 9 8.580000 9.090000 25.514000 27.156000 46.865002 73.482002 92.878998 104.772003 116.098999 127.567001 139.884995
39581 151.110413 -30.625416 37551 16821534.000000 -3409205.750000 1959 3 3.625000 6.400000 7.991000 8.818000 10.585000 15.914000 19.686001 21.940001 23.601999 29.280001 41.625999
9387 -75.642082 41.442917 22336 -8420438.000000 4613404.500000 1959 3 0.051000 0.069000 0.096000 0.096000 0.120000 0.187000 0.223000 0.255000 0.351000 1.036000 1.331000
14508 -113.442917 48.847084 6596 -12628408.000000 5437632.500000 1959 5 9.680000 10.240000 11.100000 11.740000 12.160000 12.700000 12.700000 13.100000 14.000000 14.500000 14.900000
26696 -63.876251 45.704582 21978 -7110672.000000 5087811.000000 1959 6 1.370000 1.375000 1.500000 1.520000 1.570000 1.605000 1.640000 1.670000 1.865000 2.300000 2.710000
7448 143.110413 -36.900417 39232 15930978.000000 -4107735.750000 1959 6 0.156000 0.368000 0.467000 0.623000 0.694000 0.793000 0.906000 0.949000 1.034000 1.232000 1.557000
33676 -45.472084 -23.137083 28684 -5061929.000000 -2575608.250000 1959 7 4.078000 4.689000 5.128000 5.244000 5.663000 6.116000 8.212000 9.061000 12.236000 13.524000 17.952999
1407 -104.322914 32.989582 11245 -11613174.000000 3672383.500000 1959 11 1.416000 1.841000 2.322000 2.549000 2.549000 2.633000 2.690000 2.775000 2.832000 2.860000 3.002000
37263 147.833755 -42.143749 38681 16456778.000000 -4691420.500000 1959 12 0.736000 0.753000 0.813000 0.872000 0.878000 0.906000 0.966000 1.025000 1.056000 1.116000 1.161000
32012 -69.923752 -10.926250 25892 -7783876.500000 -1216304.625000 1960 1 67.677002 68.242996 70.253998 73.170998 77.389999 82.684998 89.481003 99.052002 105.763000 110.265999 112.700996
30519 -120.787086 52.092918 1310 -13445957.000000 5798957.000000 1960 2 0.147000 0.156000 0.204000 0.245000 0.456000 0.538000 0.733000 0.787000 0.793000 1.099000 6.088000
36249 -71.870415 -52.996250 26656 -8000578.000000 -5899515.500000 1960 2 3766.135010 3992.668945 4400.431152 6235.358887 6852.666016 7475.634766 8611.138672 10075.117188 11247.433594 11978.005859 12204.541016
36872 144.687912 -41.135418 38533 16106585.000000 -4579174.000000 1960 2 1.444000 1.472000 1.529000 1.557000 1.557000 1.557000 1.557000 1.586000 1.586000 1.586000 1.614000
8268 -72.260414 41.934582 25192 -8043992.500000 4668136.500000 1960 3 1.416000 1.557000 1.614000 1.614000 1.977000 2.095000 2.095000 2.152000 2.152000 2.175000 3.710000
13159 -86.825417 35.944584 16376 -9665361.000000 4001332.750000 1960 4 3.620000 4.655000 5.355000 6.060000 6.060000 6.735000 7.750000 8.700000 10.625000 11.850000 11.850000
